Match,Team,Position,Batsmen,Link,Dismissal,Runs,Balls,Fours,Sixes,Strike Rate
England vs West Indies,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438, b Cottrell,6,6,0,1,100.00
England vs West Indies,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c Pooran b Holder,4,5,1,0,80.00
England vs West Indies,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597,c Bravo b Cottrell,14,12,2,1,116.66
England vs West Indies,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Allen b Holder,0,1,0,0,0.00
England vs West Indies,England,5,Eoin Morgan,https://www.espncricinfo.com//player/eoin-morgan-24598,c Pollard b Shepherd,17,29,0,1,58.62
England vs West Indies,England,6,Sam Billings,https://www.espncricinfo.com//player/sam-billings-297628,st †Hope b Hosein,2,4,0,0,50.00
England vs West Indies,England,7,Liam Dawson,https://www.espncricinfo.com//player/liam-dawson-211855,run out (Pollard/†Hope),2,9,0,0,22.22
England vs West Indies,England,8,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,c Cottrell b Allen,28,23,0,3,121.73
England vs West Indies,England,9,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497, b Holder,22,18,3,0,122.22
England vs West Indies,England,10,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885,c Allen b Holder,5,11,0,0,45.45
England vs West Indies,England,11,Tymal Mills,https://www.espncricinfo.com//player/tymal-mills-459257,not out ,0,0,0,0,-
England vs West Indies,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035,not out ,52,49,4,1,106.12
England vs West Indies,West Indies,2,Shai Hope,https://www.espncricinfo.com//player/shai-hope-581379,st †Billings b Rashid,20,25,2,0,80.00
England vs West Indies,West Indies,3,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302,not out ,27,29,2,0,93.10
England vs West Indies,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438,c Pollard b Shepherd,45,31,6,2,145.16
England vs West Indies,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c & b Allen,25,18,3,1,138.88
England vs West Indies,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597, b Allen,4,4,1,0,100.00
England vs West Indies,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Cottrell b Pollard,31,24,3,1,129.16
England vs West Indies,England,5,Sam Billings,https://www.espncricinfo.com//player/sam-billings-297628,c Cottrell b Hosein,5,7,1,0,71.42
England vs West Indies,England,6,Eoin Morgan,https://www.espncricinfo.com//player/eoin-morgan-24598,c King b Holder,13,12,2,0,108.33
England vs West Indies,England,7,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,c Holder b Cottrell,27,15,2,1,180.00
England vs West Indies,England,8,Liam Dawson,https://www.espncricinfo.com//player/liam-dawson-211855,c Allen b Holder,4,2,1,0,200.00
England vs West Indies,England,9,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,not out ,2,3,0,0,66.66
England vs West Indies,England,10,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885,not out ,7,4,1,0,175.00
England vs West Indies,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035,lbw b Topley,0,1,0,0,0.00
England vs West Indies,West Indies,2,Shai Hope,https://www.espncricinfo.com//player/shai-hope-581379,run out (Topley),2,9,0,0,22.22
England vs West Indies,West Indies,3,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302,c Vince b Ali,24,22,3,1,109.09
England vs West Indies,West Indies,4,Darren Bravo,https://www.espncricinfo.com//player/darren-bravo-277472,lbw b Rashid,23,20,1,1,115.00
England vs West Indies,West Indies,5,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,lbw b Rashid,1,4,0,0,25.00
England vs West Indies,West Indies,6,Jason Holder,https://www.espncricinfo.com//player/jason-holder-391485,c & b Ali,1,6,0,0,16.66
England vs West Indies,West Indies,7,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,not out ,44,28,1,5,157.14
England vs West Indies,West Indies,8,Odean Smith,https://www.espncricinfo.com//player/odean-smith-820691,c Vince b Ali,7,3,0,1,233.33
England vs West Indies,West Indies,9,Fabian Allen,https://www.espncricinfo.com//player/fabian-allen-670013,c Banton b Jordan,12,11,0,1,109.09
England vs West Indies,West Indies,10,Akeal Hosein,https://www.espncricinfo.com//player/akeal-hosein-530812,not out ,44,16,3,4,275.00
West Indies vs England,West Indies,1,Brandon King,https://www.espncricinfo.com//player/brandon-king-670035, b Garton,10,10,2,0,100.00
West Indies vs England,West Indies,2,Shai Hope,https://www.espncricinfo.com//player/shai-hope-581379,c †Banton b Livingstone,4,6,0,0,66.66
West Indies vs England,West Indies,3,Nicholas Pooran,https://www.espncricinfo.com//player/nicholas-pooran-604302,c Livingstone b Rashid,70,43,4,5,162.79
West Indies vs England,West Indies,4,Rovman Powell,https://www.espncricinfo.com//player/rovman-powell-820351,c Livingstone b Topley,107,53,4,10,201.88
West Indies vs England,West Indies,5,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,not out ,11,5,0,1,220.00
West Indies vs England,West Indies,6,Fabian Allen,https://www.espncricinfo.com//player/fabian-allen-670013,c †Banton b Mills,0,1,0,0,0.00
West Indies vs England,West Indies,7,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,not out ,9,4,2,0,225.00
West Indies vs England,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438,c Holder b Shepherd,19,16,0,2,118.75
West Indies vs England,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c Holder b Pollard,73,39,3,6,187.17
West Indies vs England,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597,c Pollard b Hosein,16,9,1,1,177.77
West Indies vs England,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Powell b Pollard,0,2,0,0,0.00
West Indies vs England,England,5,Liam Livingstone,https://www.espncricinfo.com//player/liam-livingstone-403902,c Hosein b Shepherd,11,9,0,1,122.22
West Indies vs England,England,6,Phil Salt,https://www.espncricinfo.com//player/phil-salt-669365, b Shepherd,57,24,3,5,237.50
West Indies vs England,England,7,Harry Brook,https://www.espncricinfo.com//player/harry-brook-911707,c Powell b Holder,10,13,0,0,76.92
West Indies vs England,England,8,George Garton,https://www.espncricinfo.com//player/george-garton-643433, b Cottrell,2,4,0,0,50.00
West Indies vs England,England,9,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,run out (†Hope/Cottrell),1,1,0,0,100.00
West Indies vs England,England,10,Tymal Mills,https://www.espncricinfo.com//player/tymal-mills-459257,not out ,1,1,0,0,100.00
West Indies vs England,England,11,Reece Topley,https://www.espncricinfo.com//player/reece-topley-461632,not out ,2,2,0,0,100.00
England vs West Indies,England,1,Jason Roy,https://www.espncricinfo.com//player/jason-roy-298438,c †Pooran b Pollard,52,42,5,3,123.80
England vs West Indies,England,2,Tom Banton,https://www.espncricinfo.com//player/tom-banton-877051,c Mayers b Holder,4,4,1,0,100.00
England vs West Indies,England,3,James Vince,https://www.espncricinfo.com//player/james-vince-296597,c Mayers b Hosein,34,26,2,2,130.76
England vs West Indies,England,4,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,c Shepherd b Holder,63,28,1,7,225.00
England vs West Indies,England,5,Liam Livingstone,https://www.espncricinfo.com//player/liam-livingstone-403902,c King b Shepherd,16,15,0,1,106.66
