Match,Team,Bowler,Link,Overs,Maiden,Runs,Wickets,Economy,match_id
England vs West Indies,West Indies,Sheldon Cottrell,https://www.espncricinfo.com//player/sheldon-cottrell-495551,4,1,30,2,7.5,T20 # 1256720
England vs West Indies,West Indies,Jason Holder,https://www.espncricinfo.com//player/jason-holder-391485,3.4,1,7,4,1.9,T20 # 1256720
England vs West Indies,West Indies,Akeal Hosein,https://www.espncricinfo.com//player/akeal-hosein-530812,4,0,16,1,4,T20 # 1256720
England vs West Indies,West Indies,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,3,0,25,1,8.33,T20 # 1256720
England vs West Indies,West Indies,Odean Smith,https://www.espncricinfo.com//player/odean-smith-820691,1,0,4,0,4,T20 # 1256720
England vs West Indies,West Indies,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,2,0,11,0,5.5,T20 # 1256720
England vs West Indies,West Indies,Fabian Allen,https://www.espncricinfo.com//player/fabian-allen-670013,2,0,10,1,5,T20 # 1256720
England vs West Indies,England,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885,3,0,24,0,8,T20 # 1256720
England vs West Indies,England,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,2,0,15,0,7.5,T20 # 1256720
England vs West Indies,England,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,4,0,21,1,5.25,T20 # 1256720
England vs West Indies,England,Liam Dawson,https://www.espncricinfo.com//player/liam-dawson-211855,4,0,12,0,3,T20 # 1256720
England vs West Indies,England,Tymal Mills,https://www.espncricinfo.com//player/tymal-mills-459257,3.1,0,20,0,6.31,T20 # 1256720
England vs West Indies,England,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,1,0,7,0,7,T20 # 1256720
England vs West Indies,West Indies,Sheldon Cottrell,https://www.espncricinfo.com//player/sheldon-cottrell-495551,3,0,23,1,7.66,T20 # 1256721
England vs West Indies,West Indies,Jason Holder,https://www.espncricinfo.com//player/jason-holder-391485,4,0,25,2,6.25,T20 # 1256721
England vs West Indies,West Indies,Akeal Hosein,https://www.espncricinfo.com//player/akeal-hosein-530812,3,0,15,1,5,T20 # 1256721
England vs West Indies,West Indies,Fabian Allen,https://www.espncricinfo.com//player/fabian-allen-670013,4,0,50,2,12.5,T20 # 1256721
England vs West Indies,West Indies,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,4,0,32,1,8,T20 # 1256721
England vs West Indies,West Indies,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,2,0,26,1,13,T20 # 1256721
England vs West Indies,England,Reece Topley,https://www.espncricinfo.com//player/reece-topley-461632,4,0,18,1,4.5,T20 # 1256721
England vs West Indies,England,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885,4,0,45,0,11.25,T20 # 1256721
England vs West Indies,England,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,3,0,39,1,13,T20 # 1256721
England vs West Indies,England,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,4,1,24,2,6,T20 # 1256721
England vs West Indies,England,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,4,0,24,3,6,T20 # 1256721
England vs West Indies,England,Liam Dawson,https://www.espncricinfo.com//player/liam-dawson-211855,1,0,13,0,13,T20 # 1256721
West Indies vs England,England,Reece Topley,https://www.espncricinfo.com//player/reece-topley-461632,4,0,30,1,7.5,T20 # 1256722
West Indies vs England,England,George Garton,https://www.espncricinfo.com//player/george-garton-643433,4,0,57,1,14.25,T20 # 1256722
West Indies vs England,England,Tymal Mills,https://www.espncricinfo.com//player/tymal-mills-459257,4,0,52,1,13,T20 # 1256722
West Indies vs England,England,Liam Livingstone,https://www.espncricinfo.com//player/liam-livingstone-403902,3,0,42,1,14,T20 # 1256722
West Indies vs England,England,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,4,0,25,1,6.25,T20 # 1256722
West Indies vs England,England,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,1,0,14,0,14,T20 # 1256722
West Indies vs England,West Indies,Sheldon Cottrell,https://www.espncricinfo.com//player/sheldon-cottrell-495551,4,0,28,1,7,T20 # 1256722
West Indies vs England,West Indies,Jason Holder,https://www.espncricinfo.com//player/jason-holder-391485,4,0,41,1,10.25,T20 # 1256722
West Indies vs England,West Indies,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,4,0,59,3,14.75,T20 # 1256722
West Indies vs England,West Indies,Akeal Hosein,https://www.espncricinfo.com//player/akeal-hosein-530812,3,0,36,1,12,T20 # 1256722
West Indies vs England,West Indies,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,4,0,31,2,7.75,T20 # 1256722
West Indies vs England,West Indies,Rovman Powell,https://www.espncricinfo.com//player/rovman-powell-820351,1,0,9,0,9,T20 # 1256722
England vs West Indies,West Indies,Sheldon Cottrell,https://www.espncricinfo.com//player/sheldon-cottrell-495551,4,0,34,0,8.5,T20 # 1256723
England vs West Indies,West Indies,Jason Holder,https://www.espncricinfo.com//player/jason-holder-391485,4,0,44,3,11,T20 # 1256723
England vs West Indies,West Indies,Romario Shepherd,https://www.espncricinfo.com//player/romario-shepherd-677077,3,0,40,1,13.33,T20 # 1256723
England vs West Indies,West Indies,Dominic Drakes,https://www.espncricinfo.com//player/dominic-drakes-906749,2,0,26,0,13,T20 # 1256723
England vs West Indies,West Indies,Akeal Hosein,https://www.espncricinfo.com//player/akeal-hosein-530812,3,0,23,1,7.66,T20 # 1256723
England vs West Indies,West Indies,Kieron Pollard,https://www.espncricinfo.com//player/kieron-pollard-230559,4,0,23,1,5.75,T20 # 1256723
England vs West Indies,England,Reece Topley,https://www.espncricinfo.com//player/reece-topley-461632,4,0,21,1,5.25,T20 # 1256723
England vs West Indies,England,Moeen Ali,https://www.espncricinfo.com//player/moeen-ali-8917,4,0,28,2,7,T20 # 1256723
England vs West Indies,England,Tymal Mills,https://www.espncricinfo.com//player/tymal-mills-459257,2,0,30,0,15,T20 # 1256723
England vs West Indies,England,Chris Jordan,https://www.espncricinfo.com//player/chris-jordan-288992,4,0,30,0,7.5,T20 # 1256723
England vs West Indies,England,Adil Rashid,https://www.espncricinfo.com//player/adil-rashid-244497,4,0,28,1,7,T20 # 1256723
England vs West Indies,England,Liam Livingstone,https://www.espncricinfo.com//player/liam-livingstone-403902,2,0,18,1,9,T20 # 1256723
West Indies vs England,England,Reece Topley,https://www.espncricinfo.com//player/reece-topley-461632,4,0,43,0,10.75,T20 # 1256724
West Indies vs England,England,Saqib Mahmood,https://www.espncricinfo.com//player/saqib-mahmood-643885,2,0,27,0,13.5,T20 # 1256724
