Team1,Team2,Winner,Margin,Ground,Date,Link
West Indies,England,West Indies,9 wickets,Bridgetown,"Jan 22, 2022",https://stats.espncricinfo.com/ci/engine/match/1256720.html
West Indies,England,England,1 run,Bridgetown,"Jan 23, 2022",https://stats.espncricinfo.com/ci/engine/match/1256721.html
West Indies,England,West Indies,20 runs,Bridgetown,"Jan 26, 2022",https://stats.espncricinfo.com/ci/engine/match/1256722.html
West Indies,England,England,34 runs,Bridgetown,"Jan 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1256723.html
West Indies,England,West Indies,17 runs,Bridgetown,"Jan 30, 2022",https://stats.espncricinfo.com/ci/engine/match/1256724.html
Australia,Sri Lanka,Australia,20 runs,Sydney,"Feb 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1263471.html
Oman,Nepal,Nepal,6 wickets,Al Amerat,"Feb 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1299593.html
Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,"Feb 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1299638.html
Oman,Ireland,Ireland,9 wickets,Al Amerat,"Feb 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1299594.html
Ireland,U.A.E.,U.A.E.,13 runs,Al Amerat,"Feb 13, 2022",https://stats.espncricinfo.com/ci/engine/match/1299592.html
Australia,Sri Lanka,tied,,Sydney,"Feb 13, 2022",https://stats.espncricinfo.com/ci/engine/match/1263472.html
Oman,U.A.E.,Oman,7 wickets,Al Amerat,"Feb 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1299595.html
Ireland,Nepal,Ireland,16 runs,Al Amerat,"Feb 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1299596.html
Australia,Sri Lanka,Australia,6 wickets,Canberra,"Feb 15, 2022",https://stats.espncricinfo.com/ci/engine/match/1263473.html
India,West Indies,India,6 wickets,Eden Gardens,"Feb 16, 2022",https://stats.espncricinfo.com/ci/engine/match/1278679.html
Canada,Philippines,Canada,118 runs,Al Amerat,"Feb 18, 2022",https://stats.espncricinfo.com/ci/engine/match/1299567.html
Oman,Nepal,Nepal,39 runs,Al Amerat,"Feb 18, 2022",https://stats.espncricinfo.com/ci/engine/match/1299566.html
Australia,Sri Lanka,Australia,6 wickets,Melbourne,"Feb 18, 2022",https://stats.espncricinfo.com/ci/engine/match/1263474.html
Bahrain,Germany,Bahrain,6 wickets,Al Amerat,"Feb 18, 2022",https://stats.espncricinfo.com/ci/engine/match/1299569.html
