Match,Team,Player,Overs,Maiden,Runs,Wickets,Economy,match_id
England vs West Indies,West Indies,Sheldon Cottrell,4.0,1,30,2,7.5,T20 # 1256720
England vs West Indies,West Indies,Jason Holder,3.4,1,7,4,1.9,T20 # 1256720
England vs West Indies,West Indies,Akeal Hosein,4.0,0,16,1,4.0,T20 # 1256720
England vs West Indies,West Indies,Romario Shepherd,3.0,0,25,1,8.33,T20 # 1256720
England vs West Indies,West Indies,Odean Smith,1.0,0,4,0,4.0,T20 # 1256720
England vs West Indies,West Indies,Kieron Pollard,2.0,0,11,0,5.5,T20 # 1256720
England vs West Indies,West Indies,Fabian Allen,2.0,0,10,1,5.0,T20 # 1256720
England vs West Indies,England,Saqib Mahmood,3.0,0,24,0,8.0,T20 # 1256720
England vs West Indies,England,Chris Jordan,2.0,0,15,0,7.5,T20 # 1256720
England vs West Indies,England,Adil Rashid,4.0,0,21,1,5.25,T20 # 1256720
England vs West Indies,England,Liam Dawson,4.0,0,12,0,3.0,T20 # 1256720
England vs West Indies,England,Tymal Mills,3.1,0,20,0,6.31,T20 # 1256720
England vs West Indies,England,Moeen Ali,1.0,0,7,0,7.0,T20 # 1256720
England vs West Indies,West Indies,Sheldon Cottrell,3.0,0,23,1,7.66,T20 # 1256721
England vs West Indies,West Indies,Jason Holder,4.0,0,25,2,6.25,T20 # 1256721
England vs West Indies,West Indies,Akeal Hosein,3.0,0,15,1,5.0,T20 # 1256721
England vs West Indies,West Indies,Fabian Allen,4.0,0,50,2,12.5,T20 # 1256721
England vs West Indies,West Indies,Kieron Pollard,4.0,0,32,1,8.0,T20 # 1256721
England vs West Indies,West Indies,Romario Shepherd,2.0,0,26,1,13.0,T20 # 1256721
England vs West Indies,England,Reece Topley,4.0,0,18,1,4.5,T20 # 1256721
England vs West Indies,England,Saqib Mahmood,4.0,0,45,0,11.25,T20 # 1256721
England vs West Indies,England,Chris Jordan,3.0,0,39,1,13.0,T20 # 1256721
England vs West Indies,England,Adil Rashid,4.0,1,24,2,6.0,T20 # 1256721
England vs West Indies,England,Moeen Ali,4.0,0,24,3,6.0,T20 # 1256721
England vs West Indies,England,Liam Dawson,1.0,0,13,0,13.0,T20 # 1256721
West Indies vs England,England,Reece Topley,4.0,0,30,1,7.5,T20 # 1256722
West Indies vs England,England,George Garton,4.0,0,57,1,14.25,T20 # 1256722
West Indies vs England,England,Tymal Mills,4.0,0,52,1,13.0,T20 # 1256722
West Indies vs England,England,Liam Livingstone,3.0,0,42,1,14.0,T20 # 1256722
West Indies vs England,England,Adil Rashid,4.0,0,25,1,6.25,T20 # 1256722
West Indies vs England,England,Moeen Ali,1.0,0,14,0,14.0,T20 # 1256722
West Indies vs England,West Indies,Sheldon Cottrell,4.0,0,28,1,7.0,T20 # 1256722
West Indies vs England,West Indies,Jason Holder,4.0,0,41,1,10.25,T20 # 1256722
West Indies vs England,West Indies,Romario Shepherd,4.0,0,59,3,14.75,T20 # 1256722
West Indies vs England,West Indies,Akeal Hosein,3.0,0,36,1,12.0,T20 # 1256722
West Indies vs England,West Indies,Kieron Pollard,4.0,0,31,2,7.75,T20 # 1256722
West Indies vs England,West Indies,Rovman Powell,1.0,0,9,0,9.0,T20 # 1256722
England vs West Indies,West Indies,Sheldon Cottrell,4.0,0,34,0,8.5,T20 # 1256723
England vs West Indies,West Indies,Jason Holder,4.0,0,44,3,11.0,T20 # 1256723
England vs West Indies,West Indies,Romario Shepherd,3.0,0,40,1,13.33,T20 # 1256723
England vs West Indies,West Indies,Dominic Drakes,2.0,0,26,0,13.0,T20 # 1256723
England vs West Indies,West Indies,Akeal Hosein,3.0,0,23,1,7.66,T20 # 1256723
England vs West Indies,West Indies,Kieron Pollard,4.0,0,23,1,5.75,T20 # 1256723
England vs West Indies,England,Reece Topley,4.0,0,21,1,5.25,T20 # 1256723
England vs West Indies,England,Moeen Ali,4.0,0,28,2,7.0,T20 # 1256723
England vs West Indies,England,Tymal Mills,2.0,0,30,0,15.0,T20 # 1256723
England vs West Indies,England,Chris Jordan,4.0,0,30,0,7.5,T20 # 1256723
England vs West Indies,England,Adil Rashid,4.0,0,28,1,7.0,T20 # 1256723
England vs West Indies,England,Liam Livingstone,2.0,0,18,1,9.0,T20 # 1256723
West Indies vs England,England,Reece Topley,4.0,0,43,0,10.75,T20 # 1256724
West Indies vs England,England,Saqib Mahmood,2.0,0,27,0,13.5,T20 # 1256724
West Indies vs England,England,Moeen Ali,3.0,0,20,0,6.66,T20 # 1256724
West Indies vs England,England,Chris Jordan,4.0,0,52,0,13.0,T20 # 1256724
West Indies vs England,England,Adil Rashid,4.0,0,17,2,4.25,T20 # 1256724
West Indies vs England,England,Liam Livingstone,3.0,0,17,2,5.66,T20 # 1256724
West Indies vs England,West Indies,Akeal Hosein,4.0,0,30,4,7.5,T20 # 1256724
West Indies vs England,West Indies,Jason Holder,2.5,0,27,5,9.52,T20 # 1256724
West Indies vs England,West Indies,Sheldon Cottrell,3.0,0,21,0,7.0,T20 # 1256724
West Indies vs England,West Indies,Odean Smith,4.0,0,41,1,10.25,T20 # 1256724
West Indies vs England,West Indies,Kieron Pollard,2.0,0,15,0,7.5,T20 # 1256724
West Indies vs England,West Indies,Romario Shepherd,1.0,0,7,0,7.0,T20 # 1256724
West Indies vs England,West Indies,Fabian Allen,3.0,0,17,0,5.66,T20 # 1256724
Australia vs Sri Lanka,Sri Lanka,Dushmantha Chameera,4.0,0,38,2,9.5,T20 # 1263471
Australia vs Sri Lanka,Sri Lanka,Binura Fernando,4.0,0,12,2,3.0,T20 # 1263471
Australia vs Sri Lanka,Sri Lanka,Maheesh Theekshana,3.0,0,27,0,9.0,T20 # 1263471
Australia vs Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva,4.0,0,38,3,9.5,T20 # 1263471
Australia vs Sri Lanka,Sri Lanka,Chamika Karunaratne,4.0,0,22,2,5.5,T20 # 1263471
Australia vs Sri Lanka,Sri Lanka,Dasun Shanaka,1.0,0,8,0,8.0,T20 # 1263471
Australia vs Sri Lanka,Australia,Mitchell Starc,4.0,0,41,0,10.25,T20 # 1263471
Australia vs Sri Lanka,Australia,Josh Hazlewood,4.0,0,12,4,3.0,T20 # 1263471
Australia vs Sri Lanka,Australia,Pat Cummins,4.0,0,32,1,8.0,T20 # 1263471
Australia vs Sri Lanka,Australia,Marcus Stoinis,3.0,0,12,0,4.0,T20 # 1263471
Australia vs Sri Lanka,Australia,Adam Zampa,4.0,0,18,3,4.5,T20 # 1263471
Oman vs Nepal,Nepal,Kamal Airee,4.0,0,25,1,6.25,T20 # 1299593
Oman vs Nepal,Nepal,Sagar Dhakal,3.0,0,36,0,12.0,T20 # 1299593
Oman vs Nepal,Nepal,Abinash Bohara,4.0,0,26,3,6.5,T20 # 1299593
Oman vs Nepal,Nepal,Aarif Sheikh,1.0,0,2,1,2.0,T20 # 1299593
Oman vs Nepal,Nepal,Dipendra Singh Airee,4.0,0,21,0,5.25,T20 # 1299593
Oman vs Nepal,Nepal,Sandeep Lamichhane,3.0,0,17,1,5.66,T20 # 1299593
Oman vs Nepal,Nepal,Bibek Yadav,1.0,0,5,0,5.0,T20 # 1299593
Oman vs Nepal,Oman,Bilal Khan,4.0,0,25,0,6.25,T20 # 1299593
Oman vs Nepal,Oman,Kaleemullah,4.0,0,24,2,6.0,T20 # 1299593
Oman vs Nepal,Oman,Mohammad Nadeem,3.3,0,29,0,8.28,T20 # 1299593
Oman vs Nepal,Oman,Zeeshan Maqsood,2.0,0,14,0,7.0,T20 # 1299593
Oman vs Nepal,Oman,Ayaan Khan,2.0,0,12,0,6.0,T20 # 1299593
Oman vs Nepal,Oman,Khawar Ali,4.0,0,31,1,7.75,T20 # 1299593
