Team1,Team2,Winner,Margin,Ground,Date,match_id,Stage
West Indies,England,West Indies,9 wickets,Bridgetown,22-Jan-22,T20 # 1256720,Qualifier
West Indies,England,England,1 run,Bridgetown,23-Jan-22,T20 # 1256721,Qualifier
West Indies,England,West Indies,20 runs,Bridgetown,26-Jan-22,T20 # 1256722,Qualifier
West Indies,England,England,34 runs,Bridgetown,29-Jan-22,T20 # 1256723,Qualifier
West Indies,England,West Indies,17 runs,Bridgetown,30-Jan-22,T20 # 1256724,Qualifier
Australia,Sri Lanka,Australia,20 runs,Sydney,11-Feb-22,T20 # 1263471,Qualifier
Oman,Nepal,Nepal,6 wickets,Al Amerat,11-Feb-22,T20 # 1299593,Qualifier
Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,12-Feb-22,T20 # 1299638,Qualifier
Oman,Ireland,Ireland,9 wickets,Al Amerat,12-Feb-22,T20 # 1299594,Qualifier
Ireland,U.A.E.,U.A.E.,13 runs,Al Amerat,13-Feb-22,T20 # 1299592,Qualifier
Australia,Sri Lanka,tied,,Sydney,13-Feb-22,T20 # 1263472,Qualifier
Oman,U.A.E.,Oman,7 wickets,Al Amerat,14-Feb-22,T20 # 1299595,Qualifier
Ireland,Nepal,Ireland,16 runs,Al Amerat,14-Feb-22,T20 # 1299596,Qualifier
Australia,Sri Lanka,Australia,6 wickets,Canberra,15-Feb-22,T20 # 1263473,Qualifier
India,West Indies,India,6 wickets,Eden Gardens,16-Feb-22,T20 # 1278679,Qualifier
Canada,Philippines,Canada,118 runs,Al Amerat,18-Feb-22,T20 # 1299567,Qualifier
Oman,Nepal,Nepal,39 runs,Al Amerat,18-Feb-22,T20 # 1299566,Qualifier
Australia,Sri Lanka,Australia,6 wickets,Melbourne,18-Feb-22,T20 # 1263474,Qualifier
Bahrain,Germany,Bahrain,6 wickets,Al Amerat,18-Feb-22,T20 # 1299569,Qualifier
Ireland,U.A.E.,U.A.E.,18 runs,Al Amerat,18-Feb-22,T20 # 1299568,Qualifier
India,West Indies,India,8 runs,Eden Gardens,18-Feb-22,T20 # 1278680,Qualifier
Nepal,Philippines,Nepal,136 runs,Al Amerat,19-Feb-22,T20 # 1299571,Qualifier
Oman,Canada,Oman,9 wickets,Al Amerat,19-Feb-22,T20 # 1299570,Qualifier
Bahrain,Ireland,Ireland,21 runs,Al Amerat,19-Feb-22,T20 # 1299573,Qualifier
Germany,U.A.E.,U.A.E.,24 runs,Al Amerat,19-Feb-22,T20 # 1299572,Qualifier
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,20-Feb-22,T20 # 1263475,Qualifier
India,West Indies,India,17 runs,Eden Gardens,20-Feb-22,T20 # 1278681,Qualifier
Bahrain,U.A.E.,Bahrain,2 runs,Al Amerat,21-Feb-22,T20 # 1299575,Qualifier
Germany,Ireland,Ireland,7 wickets,Al Amerat,21-Feb-22,T20 # 1299574,Qualifier
Canada,Nepal,Nepal,8 wickets,Al Amerat,21-Feb-22,T20 # 1299576,Qualifier
Oman,Philippines,Oman,9 wickets,Al Amerat,21-Feb-22,T20 # 1299577,Qualifier
Bahrain,Philippines,Bahrain,91 runs,Al Amerat,22-Feb-22,T20 # 1299579,Qualifier
Canada,Germany,Canada,6 wickets,Al Amerat,22-Feb-22,T20 # 1299578,Qualifier
Nepal,U.A.E.,U.A.E.,68 runs,Al Amerat,22-Feb-22,T20 # 1299580,Qualifier
Oman,Ireland,Ireland,56 runs,Al Amerat,22-Feb-22,T20 # 1299581,Qualifier
Bahrain,Canada,Canada,7 wickets,Al Amerat,24-Feb-22,T20 # 1299582,Qualifier
Germany,Philippines,Germany,9 wickets,Al Amerat,24-Feb-22,T20 # 1299583,Qualifier
Ireland,U.A.E.,U.A.E.,7 wickets,Al Amerat,24-Feb-22,T20 # 1299585,Qualifier
Oman,Nepal,Nepal,9 wickets,Al Amerat,24-Feb-22,T20 # 1299584,Qualifier
India,Sri Lanka,India,62 runs,Lucknow,24-Feb-22,T20 # 1278684,Qualifier
India,Sri Lanka,India,7 wickets,Dharamsala,26-Feb-22,T20 # 1278685,Qualifier
India,Sri Lanka,India,6 wickets,Dharamsala,27-Feb-22,T20 # 1278686,Qualifier
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,03-Mar-22,T20 # 1299832,Qualifier
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,05-Mar-22,T20 # 1299833,Qualifier
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,28-Mar-22,T20 # 1305498,Qualifier
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,29-Mar-22,T20 # 1305499,Qualifier
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,30-Mar-22,T20 # 1305500,Qualifier
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,31-Mar-22,T20 # 1305501,Qualifier
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,01-Apr-22,T20 # 1305502,Qualifier
Nepal,Malaysia,Nepal,85 runs,Kirtipur,02-Apr-22,T20 # 1305503,Qualifier
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,04-Apr-22,T20 # 1305504,Qualifier
Pakistan,Australia,Australia,3 wickets,Lahore,05-Apr-22,T20 # 1288316,Qualifier
Namibia,Uganda,Namibia,8 wickets,Windhoek,08-Apr-22,T20 # 1309701,Qualifier
Namibia,Uganda,Uganda,7 wickets,Windhoek,09-Apr-22,T20 # 1309702,Qualifier
Namibia,Uganda,Namibia,52 runs,Windhoek,10-Apr-22,T20 # 1309703,Qualifier
Cayman Is,Bahamas,Cayman Is,8 wickets,George Town,13-Apr-22,T20 # 1310156,Qualifier
Cayman Is,Bahamas,Cayman Is,15 runs,George Town,14-Apr-22,T20 # 1310157,Qualifier
Cayman Is,Bahamas,Cayman Is,7 wickets,George Town,16-Apr-22,T20 # 1310158,Qualifier
Cayman Is,Bahamas,Cayman Is,65 runs,George Town,16-Apr-22,T20 # 1310159,Qualifier
Cayman Is,Bahamas,Cayman Is,42 runs,George Town,17-Apr-22,T20 # 1310160,Qualifier
Guernsey,Norway,Norway,37 runs,Almeria,29-Apr-22,T20 # 1310161,Qualifier
Spain,Norway,Spain,51 runs,Almeria,30-Apr-22,T20 # 1310162,Qualifier
Guernsey,Norway,Guernsey,8 wickets,Almeria,30-Apr-22,T20 # 1310163,Qualifier
Spain,Guernsey,Spain,8 wickets,Almeria,30-Apr-22,T20 # 1310164,Qualifier
Spain,Guernsey,Guernsey,8 wickets,Almeria,01-May-22,T20 # 1310165,Qualifier
Spain,Norway,Spain,41 runs,Almeria,01-May-22,T20 # 1310166,Qualifier
Denmark,Finland,Finland,3 wickets,Brondby,07-May-22,T20 # 1310167,Qualifier
Denmark,Finland,Denmark,137 runs,Brondby,07-May-22,T20 # 1310168,Qualifier
Denmark,Finland,Denmark,53 runs,Brondby,08-May-22,T20 # 1310169,Qualifier
Malta,Gibraltar,Malta,5 wickets,Marsa,10-May-22,T20 # 1310170,Qualifier
Malta,Hungary,Malta,45 runs,Marsa,10-May-22,T20 # 1310171,Qualifier
Gibraltar,Hungary,Hungary,4 wickets,Marsa,10-May-22,T20 # 1310172,Qualifier
Malta,Romania,Malta,5 wickets,Marsa,11-May-22,T20 # 1310173,Qualifier
Czech Rep.,Gibraltar,Czech Rep.,40 runs,Marsa,11-May-22,T20 # 1310174,Qualifier
Bulgaria,Hungary,Hungary,5 runs,Marsa,11-May-22,T20 # 1310175,Qualifier
Malta,Czech Rep.,Malta,2 runs,Marsa,12-May-22,T20 # 1310176,Qualifier
Bulgaria,Czech Rep.,Czech Rep.,88 runs,Marsa,12-May-22,T20 # 1310177,Qualifier
Hungary,Romania,Hungary,6 wickets,Marsa,12-May-22,T20 # 1310178,Qualifier
Czech Rep.,Romania,Romania,26 runs,Marsa,13-May-22,T20 # 1310180,Qualifier
